Id,SalePrice
1461,146571.273498
1462,147621.27371
1463,208514.61155
1464,190177.97951
1465,231922.643237
1466,164020.209807
1467,243626.769532
1468,207313.856098
1469,204743.974655
1470,146989.005812
1471,173091.92652
1472,159038.706135
1473,107547.65794
1474,184158.488179
1475,147158.506923
1476,173473.788633
1477,182350.649418
1478,131477.014904
1479,205758.766335
1480,250300.601227
1481,307593.356396
1482,159645.149384
1483,208105.966725
1484,164993.10479
1485,191009.542903
1486,237280.922491
1487,172094.379595
1488,255545.720341
1489,234121.077517
1490,104497.96701
1491,159272.557505
1492,115408.979881
1493,182720.992041
1494,245861.022047
1495,253660.495647
1496,280999.338335
1497,183989.844007
1498,210457.857017
1499,184423.26925
1500,104201.83404
1501,188951.317235
1502,210153.476076
1503,172437.941234
1504,176716.081956
1505,198794.348726
1506,164069.218838
1507,247488.361736
1508,213783.026631
1509,133226.620502
1510,133398.075806
1511,155761.217708
1512,141783.175774
1513,125284.816468
1514,151378.998889
1515,143113.290561
1516,170684.359773
1517,192967.324882
1518,112239.354937
1519,293807.316633
1520,104278.968177
1521,138907.358637
1522,124058.605385
1523,144522.007895
1524,142859.568874
1525,146897.872912
1526,164237.669826
1527,223852.481974
1528,184884.417935
1529,95926.9441693
1530,231593.390052
1531,128190.159319
1532,95170.9205157
1533,152274.499122
1534,119182.386266
1535,164238.722101
1536,75387.1438953
1537,122650.966163
1538,124799.583245
1539,227264.370312
1540,80924.4054179
1541,144938.932063
1542,151938.769434
1543,217439.579213
1544,124471.126263
1545,118674.772782
1546,184395.701753
1547,116069.912572
1548,116110.5505
1549,166915.027013
1550,118402.474286
1551,65083.6599681
1552,131416.708324
1553,110546.134327
1554,154515.68464
1555,162070.828201
1556,90014.0122806
1557,130577.308558
1558,107731.301079
1559,79447.2027569
1560,135333.734552
1561,125575.922266
1562,161544.687294
1563,108650.741553
1564,166315.308535
1565,176115.877183
1566,263086.776501
1567,102296.545721
1568,131148.034273
1569,147185.596487
1570,188865.42325
1571,151504.889988
1572,123874.627112
1573,293926.533045
1574,164975.815603
1575,258957.459894
1576,208509.847123
1577,171939.268978
1578,130729.103989
1579,258176.131765
1580,180874.885361
1581,139363.18389
1582,121125.097397
1583,206514.628901
1584,194921.996394
1585,192338.073706
1586,82840.8383447
1587,115347.536283
1588,98810.1030347
1589,124124.24169
